Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-09-29,4.5,9.5,9.0,4.2,7.1,0.0,1.5,0.0,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,49.8,9.5,0.0
2025-09-30,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,,0.0,0.0,0.0,0.0,0.0,7.3,15.2,,2.5,0.0,55.7,0.0,1.0,0.0,0.0,81.7,55.7,0.0
2025-10-04,20.0,25.7,26.5,50.5,25.6,43.1,15.5,14.0,17.0,18.7,10.0,36.0,17.5,17.0,15.0,73.6,425.7,73.6,10.0
2025-10-05,2.0,8.6,2.5,3.5,6.5,0.0,27.0,1.2,0.8,0.4,0.0,1.2,0.0,0.0,2.0,4.0,59.7,27.0,0.0
2025-10-06,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.4,0.0,0.0,11.4,36.2,24.0,0.0
2025-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0
2025-10-08,8.0,0.5,0.0,0.0,5.2,14.6,0.0,39.0,25.4,7.9,0.0,0.0,4.0,0.0,0.5,4.0,109.1,39.0,0.0
2025-10-18,2.0,1.5,1.0,0.5,3.3,1.1,1.5,19.2,23.0,1.5,45.6,2.9,3.5,45.0,4.5,4.6,160.7,45.6,0.5
2025-10-19,50.0,46.2,36.5,34.8,46.3,24.0,53.6,60.0,54.0,35.0,30.7,64.0,14.5,7.0,57.0,22.4,636.0,64.0,7.0
2025-10-20,16.0,17.6,26.0,26.4,16.7,16.6,33.0,4.5,23.0,19.3,18.2,4.8,21.5,40.0,28.0,0.5,312.1,40.0,0.5
2025-10-21,16.0,30.8,15.0,26.1,26.0,7.7,11.2,0.7,1.0,1.5,3.2,8.7,0.0,25.0,10.5,4.0,187.4,30.8,0.0
